ERBB2_DRUGINHIBITION_8_GDS2139-DN,JAK2,MAPK1,MAPK3,PTK2B,IGF1R,LCK,JAK1,EGFR,INSR,SRC,PRKCD,ABL1,CAMK4,MAPK14,CHUK,PDGFRB,HIPK2,LYN,CSK,JAK3
ABL1_KNOCKDOWN_144_GSE31912-DN,CAMK4,HIPK2,MAP3K7,AKT1,CAMK1,ATR,MARK2,MAPK8,ATM,CDK2,SGK2,SGK3,CAMK2D,PRKAA1,PRKD1,TAF1,BUB1B,CDK8,BUB1,MELK
CDK10_KNOCKDOWN_116_GSE27869-DN,MAPK1,MAPK3,GSK3B,MAPK14,CSNK2A1,HIPK2,MAP3K8,CDK2,MAP2K1,MAPK8,RET,PDPK1,MAPKAPK2,CDK1,RPS6KA4,RPS6KB1,MAPK9,RPS6KA5,ATM,AURKA
PDK1_KNOCKOUT_80_GSE26290-DN,MAPK1,MAPK3,GSK3B,CDK2,MAPK14,AKT1,CHUK,HIPK2,MAPKAPK2,MAPK8,CAMK4,CSNK2A1,RPS6KB1,CDK7,CDK6,RPS6KA2,RPS6KA1,CDK1,MAP2K1,MAPK9
MET_KNOCKOUT_263_GSE8747-DN,MAPK1,MAPK3,GSK3B,MAPK14,CSNK2A1,MAPK9,CDK2,MAPK8,HIPK2,ATM,ATR,MAPKAPK2,CDK4,RPS6KA5,AKT1,CDK6,GSK3A,RPS6KA3,MAP2K1,RET
HIPK2_KNOCKDOWN_106_GSE27869-DN,MAPK1,MAPK3,GSK3B,RPS6KA5,CSNK2A1,CDK2,MAPK14,HIPK2,CHUK,MAPKAPK2,CAMK4,RPS6KA1,AKT1,MAPK9,MAPK8,RPS6KB1,RPS6KA2,ATM,CDK4,PRKACA
ERBB2_KNOCKDOWN_233_GSE8373-DN,MAPK1,MAPK3,GSK3B,CSNK2A1,MAPK14,MAPK7,CDK7,RPS6KA5,MAPKAPK2,CSNK1A1,ATM,RPS6KA2,RPS6KB1,CDK2,MAPK8,MAP2K1,CHUK,HIPK2,CDK9,CAMK4
PLK3_KNOCKDOWN_121_GSE27869-DN,MAPK1,MAPK3,GSK3B,MAPK14,CSNK2A1,MAPK8,CHUK,MAPKAPK2,CDK2,MAP3K8,GSK3A,CDK1,RPS6KA2,MAP2K1,MAPK9,AKT1,RPS6KA5,HIPK2,RPS6KB1,RET
HIPK1_KNOCKOUT_170_GSE39253-DN,JAK2,MAPK1,IGF1R,PTK2B,MAPK3,LCK,SRC,JAK1,INSR,ABL1,PRKCD,MAPK14,EGFR,CHUK,PDGFRB,LYN,CDK9,CSK,JAK3,BTK
CDK8_KNOCKDOWN_147_GSE32108-DN,MAPK1,MAPK3,MAPK8,MAPK14,CSNK2A1,GSK3B,AKT1,ATM,CHUK,CDK1,ABL1,CDK2,ATR,RPS6KA3,PLK3,PLK1,IKBKB,RPS6KA5,PRKDC,CDK7
MELK_KNOCKDOWN_150_GSE32873-DN,MAPK1,MAPK3,GSK3B,MAPK8,AKT1,MAPK14,CHUK,CSNK2A1,PRKCD,RET,RPS6KA1,BMPR1B,IKBKB,RPS6KA2,ABL1,MAPKAPK2,HIPK2,ATM,MAP3K7,CAMK4
FGFR1_KNOCKDOWN_94_GSE27869-DN,MAPK1,MAPK3,GSK3B,MAPK14,CDK2,MAPK7,HIPK2,CSNK2A1,CAMK4,CDK1,MAP2K1,CHUK,MAPK8,CDK4,CDK7,ATM,RPS6KA4,MAPKAPK2,MAPK9,CAMK1
MAPK1_KNOCKDOWN_131_GSE31534-DN,MAPK1,MAPK8,AKT1,ATM,MAPK3,CSNK2A1,MAPK14,PLK3,ATR,ABL1,GSK3B,CDK1,CHUK,CDK2,RPS6KA3,PLK1,CDK7,CHEK2,HIPK2,MAP3K7
ATM_KNOCKDOWN_18_GDS1852-DN,MAPK1,MAPK3,GSK3B,MAPK14,CDK2,CDK7,CSNK2A1,HIPK2,CHUK,AKT1,MAPKAPK2,CDK6,RPS6KA2,CDK1,CDK4,RPS6KA3,PIM1,RPS6KA5,RPS6KB1,MAPK8
CDK8_KNOCKDOWN_163_GSE38061-DN,MAPK1,MAPK3,GSK3B,MAPK14,MAPK8,AKT1,CDK4,CSNK2A1,CHUK,EEF2K,RET,CDK2,MAP3K7,HIPK2,MAPK9,BMPR1B,MAPK7,CAMK4,ATM,CDK7
KDR_KNOCKDOWN_119_GSE27869-DN,MAPK1,MAPK3,MAPK14,GSK3B,CDK2,CSNK2A1,PRKDC,MAPKAPK2,HIPK2,MAPK8,MAPK9,MAPK7,RPS6KA2,CHUK,ATM,RET,RPS6KA1,CDK9,MAP3K8,CDK1
MAPK1_KNOCKDOWN_145_GSE31912-DN,CAMK4,HIPK2,EGFR,CDK2,AKT1,MAPK3,ABL1,SRC,MAPK14,ATM,MAPK1,PRKD1,FER,CSNK2A1,TAF1,ATR,MAPK8,MAP3K7,CHUK,TNK2
ERBB2_KNOCKDOWN_232_GSE8373-DN,MAPK1,MAPK3,GSK3B,CHUK,AKT1,CSNK2A1,CDK9,MAPK8,MAPK14,GSK3A,CAMK4,RPS6KA5,HIPK2,RPS6KA3,ATM,PRKCD,RPS6KB1,MAP3K1,MAPKAPK2,PRKACA
AKT1_KNOCKOUT_210_GSE39699-DN,MAPK1,MAPK3,GSK3B,MAPK14,CHUK,CDK2,CSNK2A1,AKT1,CAMK4,CDK7,MAPKAPK2,HIPK2,CDK4,RPS6KA5,MAPK8,RPS6KA1,RPS6KA3,IKBKB,CDK6,CDK9
ERBB2_DRUGINHIBITION_6_GDS2139-DN,MAPK1,GSK3B,MAPK3,CDK2,MAPK14,HIPK2,CSNK2A1,CHUK,CDK4,RPS6KA5,MAPK8,AKT1,RPS6KB1,RPS6KA2,MAP2K1,MAPKAPK2,ATM,RPS6KA1,CDK1,RPS6KA3
ROCK1_KNOCKDOWN_156_GSE34769-DN,MAPK1,MAPK3,CSNK2A1,MAPK14,GSK3B,MAPK8,AKT1,CHUK,HIPK2,ATM,RPS6KA5,MAPK9,ABL1,CSNK2A2,PIM1,CDK4,MAP3K7,CDK2,IKBKB,PRKDC
MET_KNOCKOUT_261_GSE8747-DN,MAPK1,MAPK3,CSNK2A1,GSK3B,MAPK14,CDK2,ATM,MAPK9,GSK3A,CSNK1A1,MAPK8,MAPKAPK2,RPS6KA5,CSNK2A2,CDK7,ATR,AKT1,PRKACB,RPS6KA1,RPS6KA2
CDK8_KNOCKDOWN_161_GSE38061-DN,MAPK1,MAPK3,GSK3B,CSNK2A1,AKT1,MAPK14,CHUK,CAMK4,CDK7,MAP3K7,PIM1,RET,CDK4,BMPR1B,CDK1,MAPK8,CDK2,NLK,CDK6,HIPK2
ROCK2_KNOCKDOWN_157_GSE34769-DN,MAPK1,MAPK3,GSK3B,MAPK14,CSNK2A1,CHUK,AKT1,CDK7,CDK2,PIM1,CDK6,MAPK8,CDK4,HIPK2,RET,MAPK9,CDK9,RPS6KA1,CSNK2A2,MAPKAPK2
AKT1_KNOCKOUT_212_GSE39699-DN,MAPK1,MAPK3,GSK3B,MAPK14,CDK2,HIPK2,CHUK,CDK4,CAMK4,CSNK2A1,MAP2K1,RPS6KA5,IKBKB,CDK1,AKT1,TAF1,RPS6KA2,PRKACA,ATR,MAP3K8
SCYL1_KNOCKDOWN_194_GSE57646-DN,MAPK1,MAPK3,AKT1,HIPK2,CSNK2A1,GSK3B,MAPK14,MAPK8,MAPK7,PLK3,MAP2K1,CAMK4,PRKACA,MAPKAPK5,MAP3K8,ADRBK1,ABL1,MAPK9,CDK7,RET
PIK3CG_KNOCKDOWN_96_GSE27869-DN,MAPK1,MAPK3,MAPK14,GSK3B,RPS6KA1,CHUK,CDK2,CDK4,CDK9,MAPK8,CSNK2A1,MAP3K1,MAPKAPK2,AKT1,ABL1,RET,PRKDC,PRKCD,MAP3K5,MAPK9
CDK9_KNOCKDOWN_104_GSE27869-DN,CHUK,MAPK3,MAPK14,GSK3B,MAPK1,CSNK2A1,HIPK2,IKBKB,AKT1,CSNK2A2,PRKCZ,PRKACA,CAMK4,ATM,CDK4,GSK3A,RPS6KA5,CSNK1D,PRKCA,TAF1
CDK19_KNOCKDOWN_148_GSE32108-DN,AKT1,MAPK14,CDK7,MAPK1,BMPR1B,HIPK2,GSK3B,MAPK3,CHUK,MAPK8,MAP2K1,CDK2,MELK,MAP3K7,ABL1,CDK6,CDK4,RET,CDK9,NLK
JAK2_KNOCKDOWN_192_GSE54645-DN,MAPK1,MAPK3,CSNK2A1,GSK3B,MAPK14,CDK2,HIPK2,MAPK8,AKT1,ABL1,RPS6KA5,CHUK,CDK4,GSK3A,ATM,PIM1,ATR,CSNK2A2,CDK6,PRKDC
ERBB2_DRUGINHIBITION_7_GDS2139-DN,MAPK1,GSK3B,MAPK3,MAPK14,RET,CHUK,MAP2K1,HIPK2,AKT1,MAPK8,MAP3K7,CDK9,ABL1,CDK2,CDK7,TGFBR1,MAP3K5,CDK4,BMPR1B,GSK3A
BTK_KNOCKOUT_2_GDS1346-DN,MAPK1,MAPK3,GSK3B,MAPK14,CHUK,HIPK2,CDK2,AKT1,CSNK2A1,CAMK4,MAPK9,CDK6,CDK4,RET,MAP3K5,CDK7,MAP3K1,MAP2K1,RPS6KA2,RPS6KA3
AKT1_KNOCKOUT_213_GSE39699-DN,MAPK1,MAPK3,CDK2,MAPK14,CSNK2A1,MAP2K1,ATM,GSK3B,MAPKAPK2,AKT1,PRKDC,MAPK9,RPS6KA2,RPS6KA1,HIPK2,MAP3K8,CDK1,CDK4,MAPK8,GSK3A
AKT1_KNOCKDOWN_135_GSE31534-DN,AKT1,MAPK1,MAPK8,MAPK14,GSK3B,CHUK,MAPK3,HIPK2,IKBKE,IKBKB,BMPR1B,TGFBR1,CSNK2A1,CDK4,ABL1,TBK1,GSK3A,MELK,AURKA,ACVR1
TRIM24_KNOCKOUT_298_GDS3087-DN,MAPK1,MAPK3,MAPK14,GSK3B,AKT1,ATM,CDK2,CHUK,ATR,CSNK2A1,CAMK4,RPS6KB1,MAPK8,GSK3A,RPS6KA5,HIPK2,CDK6,MAPKAPK2,CDK4,PRKCD
